column,level,n,pct
ProcedureSummary,"חדר שמאל עם חלל בגודל תקין, היפרטופי במידה ניכרת במידה ניכרת,תפקודו הסיסטולי הגלובלי תקין ללא הפרעה אזורית, תבנית המילוי הדיאסטולי פסאודונורמלית, עליה שמאל מורחבת במידה קלה.   חדר ימין בגודל ותפקוד תקינים ללא עדות ליל""ד ריאתי (תתכן תת הערכה בשל סיגנל TR חלש) .   מסתם אאורטלי מסוייד עם דלף מינימלי ללא הצרות,דלף מיטראלי וטריקוספידלי מינימלי. ",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין ,תפקודו הסיסטולי הגלובלי תקין ללא הפרעה אזורית ,לא ניתן לקבוע תפקוד דיאסטולי, עליה שמאל מורחבת במידה קלה   חדר ימין בגודל ותפקוד תקינים , ל""ד ריאתי מוערך מוגבר במידה קלה   מסתם אאורטלי מסוייד עם הצרות בינונית ללא דלף, אנולוס מיטראלי מסוייד ללא הצרות, דלף מיטראלי קל ודלף טריקוספידלי מינימלי.   מודגם תפליט פריקרדיאלי קל עד בינוני ללא סימני לחץ על מדורים ימניים ",1,0.16
ProcedureSummary,"עליה שמאלית מורחבת. חדר ימין עם תפקוד ירוד במדיה בינונית, אלקטרודה של קוצב בתוכו(FAC=25). חדר שמאל מורחב עם תפקוד גלובלי ירוד במידה קשה. אקינזיה פוסטירורית, אחורית, קידמית, דיסקינזיה אפיקלית. שאר הדפנות היפוקינטיות. מסתם אורטלי מסויד. אס""ק מיטרלית קלה. אס""ק אורטלית קלה. אס""ק טרקיוספידלית בינונית. יל""ד  ריאתי קל.   בדיקת סינכרוניזציה:   חדר ימין מתכווץ 16 מילישניות אחרי חדר שמאל( לא משמעותי)   YU INDEX=32.9( משמעותי)  בסי הקיר הלטרלי מתכווץ 65 מילישניות אחרי בסיס הספטום( משמעותי)    הקיר הלטרלי מתכווץ אחרון.",1,0.16
ProcedureSummary,"איכות הדמייה ירודה.  חדר שמאלי בגודל תקין, מעובה במידה קלה, התכווצותו הגלובלית והאיזורית תקינה, חדר ימני בגודל תקין והתכווצותו תקינה, עליות בגודל תקין.  אין עדות לחסימה באפיק המוצא של חדר שמאל, הודגם מפל לחצים מיד ונטריקולורי עד 57 ממ""כ, טבעת המסתם המיטרלי מסויידת, אי ספיקה מיטרלית מינימלית, אי ספיקה טריקוספידלית מינימלית, אין עדות ליתר לחץ דם ריאתי. ",1,0.16
ProcedureSummary,"חדר שמאלי מורחב עם התכוווצת גלובלית ירודה מאוד, מערבת את כל הדפנות, תבנית המילוי רסטריקטיבית, איו פעילות מכנית עלייתית בדופלר, חדר ימני מורחב והיפוקינטי, אי ספיקה מיטרלית קלה עד בינונית וטריקוספידלית בינונית קשה עם יתר לחץ דם ריאתי בחומרה בינונית (בנוכחות לחץ דם סיסטולי נמוך), מודגם תפליט פלאורלי ופריטונאלי, עלי שמאלית מורחבת. קוצב מימין. ",1,0.16
ProcedureSummary,"עליות מורחבות. חדר ימין מורחב והיפוקינטי בינונית(FAC=16). אלקטרודת קוצב בתוכו. חדר שמאל מורחב עם תפקוד גלובלי ירוד במבדיה קשה. דיסקינזיה אפיקלית. אקיזניה  ספטלית, אינפריורית, פוסטריורית, ךטרלית וקידמית. רק הסגמנטים בזלים מתכווצים. אס""ק מיטרלת קלה עד בינונית. מסתם אורטלי מעט מסויד. אס""ק טריקוספידלית בינונית. יל""ד ריאתי קשה. תבנית מילוי רסטריקטיבית.   בדיקת סינכרוניזציה:   חדר ימין מתכווץ 30 מילישניות לפני חדר שמאל ( לא משמעותי)   YU INCEX= 42( משמעותי)   BAX INDEX= 70 ( משמעותי)   הקיר ה אנטריורי מתכווץ אחרון.",1,0.16
ProcedureSummary,"בדיקה טכנית קשה. עליה שצמאליתתקינה. חדר ימין תקין. חדר שמאל ברוחב תקין, הספטום מעובה, תפקוד היפרדינמי. מסתם אורטלי מעובה עם דלף מימלי. אס""ק מיטרלית מינימלית. אס""ק טרקיוספידלית מינימלית. לחץ ריאתי תקין. תבנית מילוי ספוידו נורמלית. אלקטרודת קוצב מימין.",1,0.16
ProcedureSummary,בדיחקה בנוכחות פרפרו פרוזדורים  חדר שמאלי בגודל תקין תפקודו הגלובלי הסיסטולי תקין ללא הפרעה אזורית   חד רימין בגודל ותפקוד תקינים   מסתם אורטלי מסוייד קלות עם דלף מנימלי   מסתם מיטרלי עם טבעת מסויידת עם דלף קל  דרכו    מסתם טריקוספידלי עם דלף בינוני  לחץ דם ראתי סיסטולי מוערך כמוגבר במידה בינונית  וריד נבוב תחתון מורחב ולא עובר תמט נשימתי הול   תפליט פריקרדיאלי קל-בינוני ללא   סימני לחץ על חדר ימין בדיאסטולית  מוקדמת או על עליה ימין בדיאסטולית מאוחרת,1,0.16
ProcedureSummary,"בדיקה טכנית קשה.פרפור.חדר שמאל בגודל תקין התכוצותו הגלובלית מופחתת במידה קשה בצורה דיפוזית, קשה להתרשם מתבנית מילוי בזמן פרפור פרוזדורים, חדר ימין בגודל ותפקוד תקין, .עליה שמאלית מורחבת.אי ספיקה מיטרלית קלה. אי ספיקה טריקוספדלית קלה. לחץ דם ריאתי מוגבר במידה  קלה-בינונית.",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין התכוצותו הגלובלית תקינהץ חדר ימין בגודל ותפקוד תקין .תבנית מילוי תקינה. עליות מורחבות.האורטה העולה מעט מורחבת. מסתם אורטלי מעט מסויד, אי ספיקה מיטרלית מנימלית אי ספיקה אורטלית וטריקוספדלית קלה. לחץ דם ריאתי מוגבר במידה קלה. נוזל פרקירדיאלי בכמות קטנה. נוזל פלוירלי מימין.",1,0.16
