outcome,model_tier,model_type,variable_or_term,effect_measure,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note
hospitalization,C_lite,negative_binomial,Q('creatinine-numeric result'),IRR,0.9453606669116041,,,,415,781.0,consultation_only_not_final_stage5
hospitalization,C_lite,negative_binomial,Q('LV_EF'),IRR,0.99628144307861,,,,415,781.0,consultation_only_not_final_stage5
hospitalization,C_lite,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,1.033946736635214,,,,415,781.0,consultation_only_not_final_stage5
hospitalization,C_lite,negative_binomial,Q('EstimatedSysPAPressure'),IRR,1.003122619892587,,,,415,781.0,consultation_only_not_final_stage5
hospitalization,C_lite,ZINB_count_part,C(Q('m/f'))[T.m],IRR,1.1501226237223274,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_lite,ZINB_count_part,C(Q('AFIB_binary'))[T.1],IRR,1.0456589909609526,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_lite,ZINB_count_part,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,0.7569195919679234,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_lite,ZINB_count_part,C(Q('LACavitySize'))[T.Normal],IRR,1.4739830417170776,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_lite,ZINB_count_part,Q('AgeAtFirstHFDate'),IRR,1.0262772837899679,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_lite,ZINB_count_part,Q('albumin-numeric result'),IRR,0.8397882039010127,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_lite,ZINB_count_part,Q('creatinine-numeric result'),IRR,0.9464183247635154,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_lite,ZINB_count_part,Q('LV_EF'),IRR,0.9891056065855782,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
