outcome,model_name,tier,term,estimate_log,se_log,IRR,ci_lower,ci_upper,p_value,cohort_label
hospitalization,poisson_robust,C_lite_supportive,LV_EF,-0.004285623848897579,0.005433151207883392,0.99572354633233,0.9851763678175574,1.006383641659012,0.43023383979607965,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,TissueDopplerEERatioSeptal,0.03339837001393128,0.008666804478007996,1.03396235680646,1.0165468405359368,1.0516762363150305,0.00011639521438167044,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,EstimatedSysPAPressure,0.003001982874248787,0.005676992659456746,1.0030064933371523,0.9919079952341409,1.0142291729779014,0.5969455229911607,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,m/f_m,0.2274027518993894,0.16815433443218591,1.2553353548390742,0.9028672524840211,1.7454026035093504,0.17626482586306902,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,LACavitySize_Moderately dilated,-0.17588357598733187,0.19163552318539043,0.8387156242915553,0.576091255336797,1.22106331577542,0.3587222357066888,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,LACavitySize_Normal,0.22904006275093497,0.2440794524340163,1.2573924125998337,0.7793027541390378,2.028782358161091,0.3480475056340291,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,LACavitySize_Severely dilated,-0.3924649093043788,0.25939149249529353,0.6753900458432907,0.40621519023079117,1.1229312073855229,0.13027419354430458,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,const,-0.9852602317749595,,0.3733420588274588,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,AgeAtFirstHFDate,0.02628938985798641,,1.0266380041151384,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,albumin-numeric result,-0.1657322091336158,,0.8472730958086998,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,creatinine-numeric result,-0.05704097919225318,,0.9445553614576684,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,AFIB_binary,0.055637115007514705,,1.057213967035823,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,LV_EF,-0.011695657461633998,,0.9883724708795184,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,TissueDopplerEERatioSeptal,0.02781129320450678,,1.0282016374768832,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,EstimatedSysPAPressure,0.0045143413734966865,,1.004524546363005,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,m/f_m,0.1368457664444972,,1.146651282777168,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,LACavitySize_Moderately dilated,-0.21727667217661814,,0.8047072983832134,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,LACavitySize_Normal,0.3948380522197158,,1.4841438176605888,,,,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,LACavitySize_Severely dilated,-0.6235318028760773,,0.5360478749968448,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,const,-1.930120575815451,,0.14513069817630844,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,AgeAtFirstHFDate,0.021197564287932683,,1.0214238285762838,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,albumin-numeric result,-0.07637691955831244,,0.9264669372315245,,,,full_cohort_primary
